,sch9/wt,ras2/wt,tor1/wt,centroid
507,-0.2203053,0.1150093,0.182563,2.0
508,0.03832681,0.1147906,-0.08957555,2.0
509,-0.2866625,-0.4202019,-0.1922062,1.0
510,-0.3946252,-0.6046023,-0.2045004,1.0
511,0.7030311,0.869795,0.5536655,0.0
512,-0.1032949,-0.3559159,0.05848614,2.0
513,-0.3699994,-0.6391245,-0.2482594,1.0
514,0.1703364,1.110788,0.141563,0.0
515,0.6867647,0.85611,0.5757956,0.0
516,-1.021508,-0.623655,-0.0806744,1.0
517,-0.8459406,-1.315262,-0.353547,3.0
518,0.05792266,-0.5724347,-0.001811009,1.0
519,-1.059121,0.2656691,-0.1206105,2.0
520,0.4606336,1.003512,0.5726182,0.0
521,-0.1095004,0.08577649,-0.00518447,2.0
522,-0.1038506,-0.4928585,-0.1680411,1.0
523,0.1236687,-0.6069904,0.13069,2.0
524,-0.08604307,-0.4874166,-0.4702941,1.0
525,0.1031871,-0.4868613,-0.1539221,2.0
526,-0.01622228,-0.6296826,0.2289929,2.0
527,0.4109312,0.4209086,0.4899079,5.0
528,0.2587045,-0.05490799,0.4582941,5.0
529,-0.09264557,-0.09679251,0.08339758,2.0
530,-0.29689,0.2936489,0.1784805,2.0
531,0.01512819,0.9660928,0.07661917,5.0
532,0.3866529,0.550592,0.2205488,5.0
533,0.08315104,-0.1707182,0.00250299,2.0
534,-0.1404841,-0.11628,-0.09058167,2.0
535,0.2565736,0.4859407,0.1640797,5.0
536,-0.1225359,-0.09177306,-0.1213628,2.0
537,0.3298157,0.6480573,0.4342434,0.0
538,0.08831434,0.2142593,0.1360971,5.0
539,0.8350658,0.5863077,0.7588545,0.0
540,-0.7388969,0.2018585,0.5949893,2.0
541,-0.2914331,-0.3047066,-0.4361387,1.0
542,0.06958136,0.2375611,0.1821783,5.0
543,-0.03036548,-0.661723,-0.2480711,1.0
544,0.08138946,-0.2274985,0.03042871,2.0
545,-0.01904451,-0.3965272,-0.1188812,2.0
546,-0.1113619,-0.1552672,-0.03776849,2.0
547,-0.2460449,-0.5288397,-0.09088743,1.0
548,-0.2124607,-0.2485864,-0.1494564,2.0
549,-0.4295403,-0.1584754,-0.333949,1.0
550,-0.428321,-0.3091575,-0.1876353,1.0
